Time	Speed	Torque
367	44.5	84.4
368	51.7	32.4
369	58.1	15.2
370	45.9	0
371	33.6	35.8
372	36.9	67
373	40.2	84.7
374	43.4	84.3
375	45.7	84.3
376	46.5	m
377	46.1	m
378	43.9	m
379	39.3	m
380	47	m
381	54.6	m
382	62	m
383	52	m
384	43	m
385	33.9	m
386	28.4	m
387	25.5	m
388	24.6	11
389	25.2	14.7
390	28.6	28.4
391	35.5	65
392	43.8	75.3
393	51.2	34.2
394	40.7	0
395	30.3	45.4
396	34.2	83.1
397	37.6	85.3
398	40.8	87.5
399	44.8	89.7
400	50.6	91.9
401	57.6	94.1
402	64.6	44.6
403	51.6	0
404	38.7	37.4
405	42.4	70.3
406	46.5	89.1
407	50.6	93.9
408	53.8	33
409	55.5	20.3
410	55.8	5.2
411	55.4	m
412	54.4	m
413	53.1	m
414	51.8	m
415	50.3	m
416	48.4	m
417	45.9	m
418	43.1	m
419	40.1	m
420	37.4	m
421	35.1	m
422	32.8	m
423	45.3	0
424	57.8	m
425	50.6	m
426	41.6	m
427	47.9	0
428	54.2	m
429	48.1	m
430	47	31.3
431	49	38.3
432	52	40.1
433	53.3	14.5
434	52.6	0.8
435	49.8	m
436	51	18.6
437	56.9	38.9
438	67.2	45
439	78.6	21.5
440	65.5	0
441	52.4	31.3
442	56.4	60.1
443	59.7	29.2
444	45.1	0
445	30.6	4.2
446	30.9	8.4
447	30.5	4.3
448	44.6	0
449	58.8	m
450	55.1	m
451	50.6	m
452	45.3	m
453	39.3	m
454	49.1	0
455	58.8	m
456	50.7	m
457	42.4	m
458	44.1	0
459	45.7	m
460	32.5	m
461	20.7	m
462	10	m
463	0	0
464	0	1.5
465	0.9	41.1
466	7	46.3
467	12.8	48.5
468	17	50.7
469	20.9	52.9
470	26.7	55
471	35.5	57.2
472	46.9	23.8
473	44.5	0
474	42.1	45.7
475	55.6	77.4
476	68.8	100
477	81.7	47.9
478	71.2	0
479	60.7	38.3
480	68.8	72.7
481	75	m
482	61.3	m
483	53.5	m
484	45.9	58
485	48.1	80
486	49.4	97.9
487	49.7	m
488	48.7	m
489	45.5	m
490	40.4	m
491	49.7	0
492	59	m
493	48.9	m
494	40	m
495	33.5	m
496	30	m
497	29.1	12
498	29.3	40.4
499	30.4	29.3
500	32.2	15.4
501	33.9	15.8
502	35.3	14.9
503	36.4	15.1
504	38	15.3
505	40.3	50.9
506	43	39.7
507	45.5	20.6
508	47.3	20.6
509	48.8	22.1
510	50.1	22.1
511	51.4	42.4
512	52.5	31.9
513	53.7	21.6
514	55.1	11.6
515	56.8	5.7
516	42.4	0
517	27.9	8.2
518	29	15.9
519	30.4	25.1
520	32.6	60.5
521	35.4	72.7
522	38.4	88.2
523	41	65.1
524	42.9	25.6
525	44.2	15.8
526	44.9	2.9
527	45.1	m
528	44.8	m
529	43.9	m
530	42.4	m
531	40.2	m
532	37.1	m
533	47	0
534	57	m
535	45.1	m
536	32.6	m
537	46.8	0
538	61.5	m
539	56.7	m
540	46.9	m
541	37.5	m
542	30.3	m
543	27.3	32.3
544	30.8	60.3
545	41.2	62.3
546	36	0
547	30.8	32.3
548	33.9	60.3
549	34.6	38.4
550	37	16.6
551	42.7	62.3
552	50.4	28.1
553	40.1	0
554	29.9	8
555	32.5	15
556	34.6	63.1
557	36.7	58
558	39.4	52.9
559	42.8	47.8
560	46.8	42.7
561	50.7	27.5
562	53.4	20.7
563	54.2	13.1
564	54.2	0.4
565	53.4	0
566	51.4	m
567	48.7	m
568	45.6	m
569	42.4	m
570	40.4	m
571	39.8	5.8
572	40.7	39.7
573	43.8	37.1
574	48.1	39.1
575	52	22
576	54.7	13.2
577	56.4	13.2
578	57.5	6.6
579	42.6	0
580	27.7	10.9
581	28.5	21.3
582	29.2	23.9
583	29.5	15.2
584	29.7	8.8
585	30.4	20.8
586	31.9	22.9
587	34.3	61.4
588	37.2	76.6
589	40.1	27.5
590	42.3	25.4
591	43.5	32
592	43.8	6
593	43.5	m
594	42.8	m
595	41.7	m
596	40.4	m
597	39.3	m
598	38.9	12.9
599	39	18.4
600	39.7	39.2
601	41.4	60
602	43.7	54.5
603	46.2	64.2
604	48.8	73.3
605	51	82.3
606	52.1	0
607	52	m
608	50.9	m
609	49.4	m
610	47.8	m
611	46.6	m
612	47.3	35.3
613	49.2	74.1
614	51.1	95.2
615	51.7	m
616	50.8	m
617	47.3	m
618	41.8	m
619	36.4	m
620	30.9	m
621	25.5	37.1
622	33.8	38.4
623	42.1	m
624	34.1	m
625	33	37.1
626	36.4	38.4
627	43.3	17.1
628	35.7	0
629	28.1	11.6
630	36.5	19.2
631	45.2	8.3
632	36.5	0
633	27.9	32.6
634	31.5	59.6
635	34.4	65.2
636	37	59.6
637	39	49
638	40.2	m
639	39.8	m
640	36	m
641	29.7	m
642	21.5	m
643	14.1	m
644	0	0
645	0	0
646	0	0
647	0	0
648	0	0
649	0	0
650	0	0
651	0	0
652	0	0
653	0	0
654	0	0
655	0	0
656	0	3.4
657	1.4	22
658	10.1	45.3
659	21.5	10
660	32.2	0
661	42.3	46
662	57.1	74.1
663	72.1	34.2
664	66.9	0
665	60.4	41.8
666	69.1	79
667	77.1	38.3
668	63.1	0
669	49.1	47.9
670	53.4	91.3
671	57.5	85.7
672	61.5	89.2
673	65.5	85.9
674	69.5	89.5
675	73.1	75.5
676	76.2	73.6
677	79.1	75.6
678	81.8	78.2
679	84.1	39
680	69.6	0
681	55	25.2
682	55.8	49.9
683	56.7	46.4
684	57.6	76.3
685	58.4	92.7
686	59.3	99.9
687	60.1	95
688	61	46.7
689	46.6	0
690	32.3	34.6
691	32.7	68.6
692	32.6	67
693	31.3	m
694	28.1	m
695	43	0
696	58	m
697	58.9	m
698	49.4	m
699	41.5	m
700	48.4	0
701	55.3	m
702	41.8	m
703	31.6	m
704	24.6	m
705	15.2	m
706	7	m
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	22
772	4.5	25.8
773	15.5	42.8
774	30.5	46.8
775	45.5	29.3
776	49.2	13.6
777	39.5	0
778	29.7	15.1
779	34.8	26.9
780	40	13.6
781	42.2	m
782	42.1	m
783	40.8	m
784	37.7	37.6
785	47	35
786	48.8	33.4
787	41.7	m
788	27.7	m
789	17.2	m
790	14	37.6
791	18.4	25
792	27.6	17.7
793	39.8	6.8
794	34.3	0
795	28.7	26.5
796	41.5	40.9
797	53.7	17.5
798	42.4	0
799	31.2	27.3
800	32.3	53.2
801	34.5	60.6
802	37.6	68
803	41.2	75.4
804	45.8	82.8
805	52.3	38.2
806	42.5	0
807	32.6	30.5
808	35	57.9
809	36	77.3
810	37.1	96.8
811	39.6	80.8
812	43.4	78.3
813	47.2	73.4
814	49.6	66.9
815	50.2	62
816	50.2	57.7
817	50.6	62.1
818	52.3	62.9
819	54.8	37.5
820	57	18.3
821	42.3	0
822	27.6	29.1
823	28.4	57
824	29.1	51.8
825	29.6	35.3
826	29.7	33.3
827	29.8	17.7
828	29.5	m
829	28.9	m
830	43	0
831	57.1	m
832	57.7	m
833	56	m
834	53.8	m
835	51.2	m
836	48.1	m
837	44.5	m
838	40.9	m
839	38.1	m
840	37.2	42.7
841	37.5	70.8
842	39.1	48.6
843	41.3	0.1
844	42.3	m
845	42	m
846	40.8	m
847	38.6	m
848	35.5	m
849	32.1	m
850	29.6	m
851	28.8	39.9
852	29.2	52.9
853	30.9	76.1
854	34.3	76.5
855	38.3	75.5
856	42.5	74.8
857	46.6	74.2
858	50.7	76.2
859	54.8	75.1
860	58.7	36.3
861	45.2	0
862	31.8	37.2
863	33.8	71.2
864	35.5	46.4
865	36.6	33.6
866	37.2	20
867	37.2	m
868	37	m
869	36.6	m
870	36	m
871	35.4	m
872	34.7	m
873	34.1	m
874	33.6	m
875	33.3	m
876	33.1	m
877	32.7	m
878	31.4	m
879	45	0
880	58.5	m
881	53.7	m
882	47.5	m
883	40.6	m
884	34.1	m
885	45.3	0
886	56.4	m
887	51	m
888	44.5	m
889	36.4	m
890	26.6	m
891	20	m
892	13.3	m
893	6.7	m
894	0	0
895	0	0
896	0	0
897	0	0
898	0	0
899	0	0
900	0	0
901	0	5.8
902	2.5	27.9
903	12.4	29
904	19.4	30.1
905	29.3	31.2
906	37.1	10.4
907	40.6	4.9
908	35.8	0
909	30.9	7.6
910	35.4	13.8
911	36.5	11.1
912	40.8	48.5
913	49.8	3.7
914	41.2	0
915	32.7	29.7
916	39.4	52.1
917	48.8	22.7
918	41.6	0
919	34.5	46.6
920	39.7	84.4
921	44.7	83.2
922	49.5	78.9
923	52.3	83.8
924	53.4	77.7
925	52.1	69.6
926	47.9	63.6
927	46.4	55.2
928	46.5	53.6
929	46.4	62.3
930	46.1	58.2
931	46.2	61.8
932	47.3	62.3
933	49.3	57.1
934	52.6	58.1
935	56.3	56
936	59.9	27.2
937	45.8	0
938	31.8	28.8
939	32.7	56.5
940	33.4	62.8
941	34.6	68.2
942	35.8	68.6
943	38.6	65
944	42.3	61.9
945	44.1	65.3
946	45.3	63.2
947	46.5	30.6
948	46.7	11.1
949	45.9	16.1
950	45.6	21.8
951	45.9	24.2
952	46.5	24.7
953	46.7	24.7
954	46.8	28.2
955	47.2	31.2
956	47.6	29.6
957	48.2	31.2
958	48.6	33.5
959	48.8	m
960	47.6	m
961	46.3	m
962	45.2	m
963	43.5	m
964	41.4	m
965	40.3	m
966	39.4	m
967	38	m
968	36.3	m
969	35.3	5.8
970	35.4	30.2
971	36.6	55.6
972	38.6	48.5
973	39.9	41.8
974	40.3	38.2
975	40.8	35
976	41.9	32.4
977	43.2	26.4
978	43.5	m
979	42.9	m
980	41.5	m
981	40.9	m
982	40.5	m
983	39.5	m
984	38.3	m
985	36.9	m
986	35.4	m
987	34.5	m
988	33.9	m
989	32.6	m
990	30.9	m
991	29.9	m
992	29.2	m
993	44.1	0
994	59.1	m
995	56.8	m
996	53.5	m
997	47.8	m
998	41.9	m
999	35.9	m
1000	44.3	0
1001	52.6	m
1002	43.4	m
1003	50.6	0
1004	57.8	m
1005	51.6	m
1006	44.8	m
1007	48.6	0
1008	52.4	m
1009	45.4	m
1010	37.2	m
1011	26.3	m
1012	17.9	m
1013	16.2	1.9
1014	17.8	7.5
1015	25.2	18
1016	39.7	6.5
1017	38.6	0
1018	37.4	5.4
1019	43.4	9.7
1020	46.9	15.7
1021	52.5	13.1
1022	56.2	6.3
1023	44	0
1024	31.8	20.9
1025	38.7	36.3
1026	47.7	47.5
1027	54.5	22
1028	41.3	0
1029	28.1	26.8
1030	31.6	49.2
1031	34.5	39.5
1032	36.4	24
1033	36.7	m
1034	35.5	m
1035	33.8	m
1036	33.7	19.8
1037	35.3	35.1
1038	38	33.9
1039	40.1	34.5
1040	42.2	40.4
1041	45.2	44
1042	48.3	35.9
1043	50.1	29.6
1044	52.3	38.5
1045	55.3	57.7
1046	57	50.7
1047	57.7	25.2
1048	42.9	0
1049	28.2	15.7
1050	29.2	30.5
1051	31.1	52.6
1052	33.4	60.7
1053	35	61.4
1054	35.3	18.2
1055	35.2	14.9
1056	34.9	11.7
1057	34.5	12.9
1058	34.1	15.5
1059	33.5	m
1060	31.8	m
1061	30.1	m
1062	29.6	10.3
1063	30	26.5
1064	31	18.8
1065	31.5	26.5
1066	31.7	m
1067	31.5	m
1068	30.6	m
1069	30	m
1070	30	m
1071	29.4	m
1072	44.3	0
1073	59.2	m
1074	58.3	m
1075	57.1	m
1076	55.4	m
1077	53.5	m
1078	51.5	m
1079	49.7	m
1080	47.9	m
1081	46.4	m
1082	45.5	m
1083	45.2	m
1084	44.3	m
1085	43.6	m
1086	43.1	m
1087	42.5	25.6
1088	43.3	25.7
1089	46.3	24
1090	47.8	20.6
1091	47.2	3.8
1092	45.6	4.4
1093	44.6	4.1
1094	44.1	m
1095	42.9	m
1096	40.9	m
1097	39.2	m
1098	37	m
1099	35.1	2
1100	35.6	43.3
1101	38.7	47.6
1102	41.3	40.4
1103	42.6	45.7
1104	43.9	43.3
1105	46.9	41.2
1106	52.4	40.1
1107	56.3	39.3
1108	57.4	25.5
1109	57.2	25.4
1110	57	25.4
1111	56.8	25.3
1112	56.3	25.3
1113	55.6	25.2
1114	56.2	25.2
1115	58	12.4
1116	43.4	0
1117	28.8	26.2
1118	30.9	49.9
1119	32.3	40.5
1120	32.5	12.4
1121	32.4	12.2
1122	32.1	6.4
1123	31	12.4
1124	30.1	18.5
1125	30.4	35.6
1126	31.2	30.1
1127	31.5	30.8
1128	31.5	26.9
1129	31.7	33.9
1130	32	29.9
1131	32.1	m
1132	31.4	m
1133	30.3	m
1134	29.8	m
1135	44.3	0
1136	58.9	m
1137	52.1	m
1138	44.1	m
1139	51.7	0
1140	59.2	m
1141	47.2	m
1142	35.1	0
1143	23.1	m
1144	13.1	m
1145	5	m
1146	0	0
1147	0	0
1148	0	0
1149	0	0
1150	0	0
1151	0	0
1152	0	0
1153	0	0
1154	0	0
1155	0	0
1156	0	0
1157	0	0
1158	0	0
1159	0	0
1160	0	0
1161	0	0
1162	0	0
1163	0	0
1164	0	0
1165	0	0
1166	0	0
1167	0	0
1168	0	0
1169	0	0
1170	0	0
1171	0	0
1172	0	0
1173	0	0
1174	0	0
1175	0	0
1176	0	0
1177	0	0
1178	0	0
1179	0	0
1180	0	0
1181	0	0
1182	0	0
1183	0	0
1184	0	0
1185	0	0
1186	0	0
1187	0	0
1188	0	0
1189	0	0
1190	0	0
1191	0	0
1192	0	0
1193	0	0
1194	0	0
1195	0	0
1196	0	20.4
1197	12.6	41.2
1198	27.3	20.4
1199	40.4	7.6
1200	46.1	m
1201	44.6	m
1202	42.7	14.7
1203	42.9	7.3
1204	36.1	0
1205	29.3	15
1206	43.8	22.6
1207	54.9	9.9
1208	44.9	0
1209	34.9	47.4
1210	42.7	82.7
1211	52	81.2
1212	61.8	82.7
1213	71.3	39.1
1214	58.1	0
1215	44.9	42.5
1216	46.3	83.3
1217	46.8	74.1
1218	48.1	75.7
1219	50.5	75.8
1220	53.6	76.7
1221	56.9	77.1
1222	60.2	78.7
1223	63.7	78
1224	67.2	79.6
1225	70.7	80.9
1226	74.1	81.1
1227	77.5	83.6
1228	80.8	85.6
1229	84.1	81.6
1230	87.4	88.3
1231	90.5	91.9
1232	93.5	94.1
1233	96.8	96.6
1234	100	m
1235	96	m
1236	81.9	m
1237	68.1	m
1238	58.1	84.7
1239	58.5	85.4
1240	59.5	85.6
1241	61	86.6
1242	62.6	86.8
1243	64.1	87.6
1244	65.4	87.5
1245	66.7	87.8
1246	68.1	43.5
1247	55.2	0
1248	42.3	37.2
1249	43	73.6
1250	43.5	65.1
1251	43.8	53.1
1252	43.9	54.6
1253	43.9	41.2
1254	43.8	34.8
1255	43.6	30.3
1256	43.3	21.9
1257	42.8	19.9
1258	42.3	m
1259	41.4	m
1260	40.2	m
1261	38.7	m
1262	37.1	m
1263	35.6	m
1264	34.2	m
1265	32.9	m
1266	31.8	m
1267	30.7	m
1268	29.6	m
1269	40.4	0
1270	51.2	m
1271	49.6	m
1272	48	m
1273	46.4	m
1274	45	m
1275	43.6	m
1276	42.3	m
1277	41	m
1278	39.6	m
1279	38.3	m
1280	37.1	m
1281	35.9	m
1282	34.6	m
1283	33	m
1284	31.1	m
1285	29.2	m
1286	43.3	0
1287	57.4	32.8
1288	59.9	65.4
1289	61.9	76.1
1290	65.6	73.7
1291	69.9	79.3
1292	74.1	81.3
1293	78.3	83.2
1294	82.6	86
1295	87	89.5
1296	91.2	90.8
1297	95.3	45.9
1298	81	0
1299	66.6	38.2
1300	67.9	75.5
1301	68.4	80.5
1302	69	85.5
1303	70	85.2
1304	71.6	85.9
1305	73.3	86.2
1306	74.8	86.5
1307	76.3	42.9
1308	63.3	0
1309	50.4	21.2
1310	50.6	42.3
1311	50.6	53.7
1312	50.4	90.1
1313	50.5	97.1
1314	51	100
1315	51.9	100
1316	52.6	100
1317	52.8	32.4
1318	47.7	0
1319	42.6	27.4
1320	42.1	53.5
1321	41.8	44.5
1322	41.4	41.1
1323	41	21
1324	40.3	0
1325	39.3	1
1326	38.3	15.2
1327	37.6	57.8
1328	37.3	73.2
1329	37.3	59.8
1330	37.4	52.2
1331	37.4	16.9
1332	37.1	34.3
1333	36.7	51.9
1334	36.2	25.3
1335	35.6	m
1336	34.6	m
1337	33.2	m
1338	31.6	m
1339	30.1	m
1340	28.8	m
1341	28	29.5
1342	28.6	100
1343	28.8	97.3
1344	28.8	73.4
1345	29.6	56.9
1346	30.3	91.7
1347	31	90.5
1348	31.8	81.7
1349	32.6	79.5
1350	33.5	86.9
1351	34.6	100
1352	35.6	78.7
1353	36.4	50.5
1354	37	57
1355	37.3	69.1
1356	37.6	49.5
1357	37.8	44.4
1358	37.8	43.4
1359	37.8	34.8
1360	37.6	24
1361	37.2	m
1362	36.3	m
1363	35.1	m
1364	33.7	m
1365	32.4	m
1366	31.1	m
1367	29.9	m
1368	28.7	m
1369	29	58.6
1370	29.7	88.5
1371	31	86.3
1372	31.8	43.4
1373	31.7	m
1374	29.9	m
1375	40.2	0
1376	50.4	m
1377	47.9	m
1378	45	m
1379	43	m
1380	40.6	m
1381	55.5	0
1382	70.4	41.7
1383	73.4	83.2
1384	74	83.7
1385	74.9	41.7
1386	60	0
1387	45.1	41.6
1388	47.7	84.2
1389	50.4	50.2
1390	53	26.1
1391	59.5	0
1392	66.2	38.4
1393	66.4	76.7
1394	67.6	100
1395	68.4	76.6
1396	68.2	47.2
1397	69	81.4
1398	69.7	40.6
1399	54.7	0
1400	39.8	19.9
1401	36.3	40
1402	36.7	59.4
1403	36.6	77.5
1404	36.8	94.3
1405	36.8	100
1406	36.4	100
1407	36.3	79.7
1408	36.7	49.5
1409	36.6	39.3
1410	37.3	62.8
1411	38.1	73.4
1412	39	72.9
1413	40.2	72
1414	41.5	71.2
1415	42.9	77.3
1416	44.4	76.6
1417	45.4	43.1
1418	45.3	53.9
1419	45.1	64.8
1420	46.5	74.2
1421	47.7	75.2
1422	48.1	75.5
1423	48.6	75.8
1424	48.9	76.3
1425	49.9	75.5
1426	50.4	75.2
1427	51.1	74.6
1428	51.9	75
1429	52.7	37.2
1430	41.6	0
1431	30.4	36.6
1432	30.5	73.2
1433	30.3	81.6
1434	30.4	89.3
1435	31.5	90.4
1436	32.7	88.5
1437	33.7	97.2
1438	35.2	99.7
1439	36.3	98.8
1440	37.7	100
1441	39.2	100
1442	40.9	100
1443	42.4	99.5
1444	43.8	98.7
1445	45.4	97.3
1446	47	96.6
1447	47.8	96.2
1448	48.8	96.3
1449	50.5	95.1
1450	51	95.9
1451	52	94.3
1452	52.6	94.6
1453	53	65.5
1454	53.2	0
1455	53.2	m
1456	52.6	m
1457	52.1	m
1458	51.8	m
1459	51.3	m
1460	50.7	m
1461	50.7	m
1462	49.8	m
1463	49.4	m
1464	49.3	m
1465	49.1	m
1466	49.1	m
1467	49.1	8.3
1468	48.9	16.8
1469	48.8	21.3
1470	49.1	22.1
1471	49.4	26.3
1472	49.8	39.2
1473	50.4	83.4
1474	51.4	90.6
1475	52.3	93.8
1476	53.3	94
1477	54.2	94.1
1478	54.9	94.3
1479	55.7	94.6
1480	56.1	94.9
1481	56.3	86.2
1482	56.2	64.1
1483	56	46.1
1484	56.2	33.4
1485	56.5	23.6
1486	56.3	18.6
1487	55.7	16.2
1488	56	15.9
1489	55.9	21.8
1490	55.8	20.9
1491	55.4	18.4
1492	55.7	25.1
1493	56	27.7
1494	55.8	22.4
1495	56.1	20
1496	55.7	17.4
1497	55.9	20.9
1498	56	22.9
1499	56	21.1
1500	55.1	19.2
1501	55.6	24.2
1502	55.4	25.6
1503	55.7	24.7
1504	55.9	24
1505	55.4	23.5
1506	55.7	30.9
1507	55.4	42.5
1508	55.3	25.8
1509	55.4	1.3
1510	55	m
1511	54.4	m
1512	54.2	m
1513	53.5	m
1514	52.4	m
1515	51.8	m
1516	50.7	m
1517	49.9	m
1518	49.1	m
1519	47.7	m
1520	47.3	m
1521	46.9	m
1522	46.9	m
1523	47.2	m
1524	47.8	m
1525	48.2	0
1526	48.8	23
1527	49.1	67.9
1528	49.4	73.7
1529	49.8	75
1530	50.4	75.8
1531	51.4	73.9
1532	52.3	72.2
1533	53.3	71.2
1534	54.6	71.2
1535	55.4	68.7
1536	56.7	67
1537	57.2	64.6
1538	57.3	61.9
1539	57	59.5
1540	56.7	57
1541	56.7	69.8
1542	56.8	58.5
1543	56.8	47.2
1544	57	38.5
1545	57	32.8
1546	56.8	30.2
1547	57	27
1548	56.9	26.2
1549	56.7	26.2
1550	57	26.6
1551	56.7	27.8
1552	56.7	29.7
1553	56.8	32.1
1554	56.5	34.9
1555	56.6	34.9
1556	56.3	35.8
1557	56.6	36.6
1558	56.2	37.6
1559	56.6	38.2
1560	56.2	37.9
1561	56.6	37.5
1562	56.4	36.7
1563	56.5	34.8
1564	56.5	35.8
1565	56.5	36.2
1566	56.5	36.7
1567	56.7	37.8
1568	56.7	37.8
1569	56.6	36.6
1570	56.8	36.1
1571	56.5	36.8
1572	56.9	35.9
1573	56.7	35
1574	56.5	36
1575	56.4	36.5
1576	56.5	38
1577	56.5	39.9
1578	56.4	42.1
1579	56.5	47
1580	56.4	48
1581	56.1	49.1
1582	56.4	48.9
1583	56.4	48.2
1584	56.5	48.3
1585	56.5	47.9
1586	56.6	46.8
1587	56.6	46.2
1588	56.5	44.4
1589	56.8	42.9
1590	56.5	42.8
1591	56.7	43.2
